Row ID,Order Date,Customer ID,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,month,year
56,17/6/2016,TB-21055,Consumer,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,25027.2,6,0,6256.8,Jun,2016
57,17/6/2016,TB-21055,Consumer,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,3888,5,0,1866.24,Jun,2016
58,17/6/2016,TB-21055,Consumer,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,38329.2,5,0.1,851.76,Jun,2016
59,17/6/2016,TB-21055,Consumer,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",1747.2,2,0,838.656,Jun,2016
60,17/6/2016,TB-21055,Consumer,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3600,2,0,396,Jun,2016
61,17/6/2016,TB-21055,Consumer,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,5817.6,4,0.2,1963.44,Jun,2016
62,17/6/2016,TB-21055,Consumer,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,201.6,1,0,100.8,Jun,2016
63,24/11/2015,KM-16720,Consumer,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",1677.6,2,0,738.144,Nov,2015
64,24/11/2015,KM-16720,Consumer,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",3098.88,6,0.2,1123.344,Nov,2015
65,24/11/2015,KM-16720,Consumer,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,17607.6,3,0,8275.572,Nov,2015
66,24/11/2015,KM-16720,Consumer,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,9571.2,4,0,2679.936,Nov,2015
67,30/4/2015,PS-18970,Home Office,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",25573.8,5,0.3,-1826.7,Apr,2015
68,5/12/2014,BS-11590,Corporate,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",133562.88,8,0.2,13356.288,Dec,2014
69,5/12/2014,BS-11590,Corporate,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,20156.16,4,0.2,7558.56,Dec,2014
70,4/6/2016,KD-16270,Consumer,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",9105.6,2,0,4279.632,Jun,2016
71,18/9/2016,HM-14980,Consumer,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,553.92,1,0.2,207.72,Sept,2016
72,14/9/2017,TB-21520,Consumer,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",2286,3,0,1051.56,Sept,2017
73,26/4/2015,JE-15745,Consumer,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,99832.32,8,0.2,-13726.944,Apr,2015
74,26/4/2015,JE-15745,Consumer,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",11644.8,2,0.2,145.56,Apr,2015
75,26/4/2015,JE-15745,Consumer,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,8734.08,1,0.2,-2183.52,Apr,2015
76,9/12/2017,KB-16600,Corporate,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,149.76,3,0.8,-232.128,Dec,2017
77,9/12/2017,KB-16600,Corporate,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",1164.96,3,0.6,-698.976,Dec,2017
78,9/12/2017,KB-16600,Corporate,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3268.8,3,0.2,326.88,Dec,2017
79,26/11/2014,JE-15745,Consumer,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",2316,5,0.6,-1737,Nov,2014
80,12/6/2016,SC-20770,Corporate,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",24979.2,1,0,6744.384,Jun,2016
81,12/6/2016,SC-20770,Corporate,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,2008.8,3,0,964.224,Jun,2016
82,12/10/2014,DN-13690,Consumer,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1788,5,0,500.64,Oct,2014
83,12/10/2014,DN-13690,Consumer,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",2566.8,1,0,744.372,Oct,2014
84,3/9/2015,JC-16105,Corporate,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,24118.08,7,0.2,7536.9,Sept,2015
85,13/11/2017,CS-12400,Home Office,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,27645.12,3,0.2,-5874.588,Nov,2017
86,28/5/2017,PO-18865,Consumer,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,36235.2,2,0,3985.872,May,2017
87,26/10/2017,PG-18895,Consumer,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,2398.8,1,0,815.592,Oct,2017
88,26/10/2017,PG-18895,Consumer,OFF-LA-10000134,Office Supplies,Labels,Avery 511,739.2,2,0,354.816,Oct,2017
89,5/4/2016,GM-14455,Home Office,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,19004.16,7,0.2,1662.864,Apr,2016
90,17/9/2016,JS-15685,Corporate,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,2412,3,0,795.96,Sept,2016
91,17/9/2016,JS-15685,Corporate,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,8830.08,2,0.2,993.384,Sept,2016
92,17/9/2016,JS-15685,Corporate,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,777.6,1,0,373.248,Sept,2016
93,31/1/2015,KB-16315,Consumer,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,1555.2,2,0,746.496,Jan,2015
94,31/1/2015,KB-16315,Consumer,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",6400.8,3,0,1984.248,Jan,2015
95,31/1/2015,KB-16315,Consumer,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,3955.2,2,0,1938.048,Jan,2015
96,6/11/2017,RB-19705,Home Office,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,681.84,1,0.7,-454.56,Nov,2017
97,9/11/2017,PN-18775,Home Office,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,11583.6,7,0,4865.112,Nov,2017
98,17/6/2017,KD-16345,Consumer,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,6157.44,3,0.2,2155.104,Jun,2017
99,6/9/2016,ER-13855,Corporate,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,9345.6,6,0,2710.224,Sept,2016
100,29/8/2016,RB-19465,Home Office,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,7754.88,7,0.2,2714.208,Aug,2016
101,29/8/2016,RB-19465,Home Office,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,11517.12,3,0.2,-1295.676,Aug,2016
102,29/8/2016,RB-19465,Home Office,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,214.56,3,0.8,-364.752,Aug,2016
103,1/12/2016,GZ-14470,Consumer,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),2870.4,4,0,1406.496,Dec,2016
104,13/11/2015,LC-16870,Consumer,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,28667.52,6,0.2,-3225.096,Nov,2015
105,13/11/2015,LC-16870,Consumer,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",12283.2,3,0.2,-460.62,Nov,2015
106,13/11/2015,LC-16870,Consumer,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",4425.84,3,0.7,-3098.088,Nov,2015
107,23/11/2017,JM-15250,Consumer,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,8893.44,8,0.2,2112.192,Nov,2017
108,23/11/2017,JM-15250,Consumer,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,3359.04,1,0.2,251.928,Nov,2017
109,23/11/2017,JM-15250,Consumer,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,396.48,1,0.2,128.856,Nov,2017
110,15/10/2015,PA-19060,Home Office,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,40795.2,5,0.2,8159.04,Oct,2015
111,25/12/2017,CV-12805,Corporate,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,5035.2,2,0,1309.152,Dec,2017
112,3/11/2016,CL-12565,Consumer,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",9115.2,2,0,2734.56,Nov,2016
113,3/11/2016,CL-12565,Consumer,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",3268.8,6,0,1601.712,Nov,2016
114,25/8/2014,RC-19960,Consumer,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",4811.52,14,0.2,1744.176,Aug,2014
115,25/8/2014,RC-19960,Consumer,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",566.4,2,0.2,198.24,Aug,2014
116,25/8/2014,RC-19960,Consumer,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,2877.12,3,0.2,899.1,Aug,2014
117,25/8/2014,RC-19960,Consumer,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",15655.68,6,0.2,5283.792,Aug,2014
118,2/3/2015,DK-13090,Consumer,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,94503.6,3,0,19845.756,Mar,2015
119,5/4/2015,GG-14650,Corporate,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,18935.28,1,0.7,-13885.872,Apr,2015
120,12/6/2016,SC-20725,Consumer,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,5644.8,3,0,2201.472,Jun,2016
121,12/6/2016,SC-20725,Consumer,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3700.8,4,0,1665.36,Jun,2016
122,12/6/2016,SC-20725,Consumer,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",27187.2,6,0,7612.416,Jun,2016
123,12/6/2016,SC-20725,Consumer,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,13802.4,9,0,6211.08,Jun,2016
124,12/6/2016,SC-20725,Consumer,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,8164.8,7,0,2367.792,Jun,2016
125,26/12/2014,AD-10180,Home Office,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,72066.96,3,0.3,-1029.528,Dec,2014
126,20/9/2014,PF-19165,Consumer,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,74124,6,0.5,-48921.84,Sept,2014
127,5/11/2017,TS-21610,Consumer,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",286.56,2,0.7,-219.696,Nov,2017
128,5/11/2017,TS-21610,Consumer,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",29279.04,7,0.2,3659.88,Nov,2017
129,6/11/2016,LS-16975,Home Office,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",9770.88,2,0.2,-1099.224,Nov,2016
130,6/11/2016,LS-16975,Home Office,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,28627.2,3,0,3148.992,Nov,2016
131,2/2/2017,DW-13585,Corporate,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,7196.4,5,0.4,-1439.28,Feb,2017
132,2/2/2017,DW-13585,Corporate,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,9396.48,2,0.2,3523.68,Feb,2017
133,2/2/2017,DW-13585,Corporate,OFF-FA-10002780,Office Supplies,Fasteners,Staples,2574.72,9,0.2,836.784,Feb,2017
134,13/10/2016,LC-16885,Consumer,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,2404.8,3,0,1154.304,Oct,2016
135,13/10/2016,LC-16885,Consumer,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,4252.8,1,0,1998.816,Oct,2016
136,13/10/2016,LC-16885,Consumer,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",1382.4,4,0,414.72,Oct,2016
137,13/10/2016,LC-16885,Consumer,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,482.4,2,0,236.376,Oct,2016
138,13/10/2016,LC-16885,Consumer,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,9141.12,3,0.2,3199.392,Oct,2016
139,13/10/2016,LC-16885,Consumer,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,7905.6,6,0,2213.568,Oct,2016
140,13/10/2016,LC-16885,Consumer,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,5174.4,14,0,2483.712,Oct,2016
141,5/9/2016,JD-15895,Corporate,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",9936,2,0.2,1242,Sept,2016
142,18/9/2017,SH-19975,Corporate,OFF-AR-10000940,Office Supplies,Art,Newell 343,1058.4,3,0,285.768,Sept,2017
143,18/9/2017,SH-19975,Corporate,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,1303.2,3,0,612.504,Sept,2017
144,18/9/2017,SH-19975,Corporate,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,17244,3,0,8277.12,Sept,2017
145,22/12/2017,SG-20080,Consumer,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,100731.6,3,0,26190.216,Dec,2017
146,7/9/2015,HA-14920,Consumer,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,80631.6,7,0,2418.948,Sept,2015
147,22/10/2014,MG-17680,Home Office,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",11266.56,4,0.2,1549.152,Oct,2014
148,5/12/2016,JE-16165,Corporate,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,46134,11,0,12456.18,Dec,2016
149,5/12/2016,JE-16165,Corporate,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,17996.4,3,0,719.856,Dec,2016
150,5/12/2016,JE-16165,Corporate,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",234220.8,8,0,70266.24,Dec,2016
151,5/12/2016,JE-16165,Corporate,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,20586,5,0,9675.42,Dec,2016
152,13/3/2016,TW-21025,Home Office,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,18950.4,5,0.2,2131.92,Mar,2016
153,13/3/2016,TW-21025,Home Office,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,24382.08,2,0.2,1828.656,Mar,2016
154,31/5/2015,SP-20650,Corporate,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,7005.6,7,0,3152.52,May,2015
155,31/5/2015,SP-20650,Corporate,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,12662.4,4,0,5824.704,May,2015
156,31/5/2015,SP-20650,Corporate,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",9705.6,6,0,2523.456,May,2015
157,28/5/2015,NK-18490,Home Office,OFF-AR-10001547,Office Supplies,Art,Newell 311,795.6,3,0,214.812,May,2015
158,1/3/2014,DB-13060,Consumer,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,54908.16,2,0.2,6177.168,Mar,2014
159,20/11/2016,NP-18670,Consumer,OFF-LA-10002475,Office Supplies,Labels,Avery 519,1754.4,2,0,824.568,Nov,2016
160,20/11/2016,NP-18670,Consumer,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,113391.6,7,0,28347.9,Nov,2016
161,11/5/2016,TT-21070,Consumer,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,717.6,1,0,322.92,May,2016
162,28/12/2015,EM-13960,Consumer,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,6526.08,2,0.2,163.152,Dec,2015
163,16/11/2016,RD-19900,Consumer,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,3408,5,0,1601.76,Nov,2016
